text,language,label,domain,family,phrase,phrase_group
"Mfasha vuba, umugabo wanjye araruka cyane kandi yumva afite intege nke kuva hashize iminsi itatu kandi ndahangayitse. Naje mvuye kure.",kinyarwanda,URGENT,gastrointestinal,kinyarwanda->kinyarwanda:URGENT:gastrointestinal,{REL} araruka cyane kandi yumva afite intege nke.,ndaruka cyane kandi numva mfite intege nke
"Mfasha, umugore wanjye nta miti ya SIDA afite kuva mu cyumweru gishize nta miti imfasha. Mfasha muganga.",kinyarwanda,URGENT,chronic_care,kinyarwanda->kinyarwanda:URGENT:chronic_care,{REL} nta miti ya SIDA afite.,Nta miti ya SIDA mfite.
"Muraho, mama amaze iminsi itatu arwaye impiswi zikomeye kuva mu masaha abiri ashize kandi nta miti mfite. Ndakeneye ubufasha vuba.",kinyarwanda,URGENT,gastrointestinal,kinyarwanda->kinyarwanda:URGENT:gastrointestinal,{REL} amaze iminsi itatu arwaye impiswi zikomeye.,maze iminsi itatu ndwaye impiswi zikomeye
Ndashaka kukubwira ikibazo mfite. Mfite ikibazo ku mutwe kandi kirimo guterwa n'urumuri kuva mu cyumweru gishize nta miti imfasha. Ndakeneye ubufasha vuba.,kinyarwanda,URGENT,neurological,kinyarwanda->kinyarwanda:URGENT:neurological,Mfite ikibazo ku mutwe kandi kirimo guterwa n'urumuri.,Mfite ikibazo ku mutwe kandi kirimo guterwa n'urumuri.
"Ndakeneye ubufasha, mu rugo hari umuntu urwaye igituntu kandi mushiki wanjye ashaka kwisuzumisha kuva ubu gitondo cya kare. Byatangiye gitunguranye. Ni imiti ki nafata?",kinyarwanda,URGENT,preventive,kinyarwanda->kinyarwanda:URGENT:preventive,Mu rugo hari umuntu urwaye igituntu kandi {REL} ashaka kwisuzumisha.,Mu rugo hari umuntu urwaye igituntu kandi ndashaka kwisuzumisha.
"Muganga, mfite gahunda yo gukingiza umwana kuva mu cyumweru gishize. Nkora iki?",kinyarwanda,ROUTINE,preventive,kinyarwanda->kinyarwanda:ROUTINE:preventive,Mfite gahunda yo gukingiza umwana.,Mfite gahunda yo gukingiza umwana.
"Nzanye umwana wanjye, ndashaka imiti y'inzoka y'umwana wanjye. Ndakeneye ubufasha vuba.",kinyarwanda,ROUTINE,preventive,kinyarwanda->kinyarwanda:ROUTINE:preventive,Ndashaka imiti y'inzoka y'umwana wanjye.,Ndashaka imiti y'inzoka y'umwana wanjye.
"Ndakeneye ubufasha, ndashaka ko bapima umuvuduko w'amaraso kuva mu cyumweru gishize nta miti imfasha. Ntegereze cyangwa nsuzumwe ubu?",kinyarwanda,ROUTINE,preventive,kinyarwanda->kinyarwanda:ROUTINE:preventive,Ndashaka ko bapima umuvuduko w'amaraso.,Ndashaka ko bapima umuvuduko w'amaraso.
"Mfasha vuba, ndashaka imiti y'inzoka y'umwana wanjye kuva hashize iminsi ibiri kandi sinshobora gusinzira. Ese ibi birakomeye?",kinyarwanda,ROUTINE,preventive,kinyarwanda->kinyarwanda:ROUTINE:preventive,Ndashaka imiti y'inzoka y'umwana wanjye.,Ndashaka imiti y'inzoka y'umwana wanjye.
Naraguye none ndababara cyane kuva mu cyumweru gishize. Byatangiye gitunguranye. Urakoze.,kinyarwanda,URGENT,haemorrhage_trauma,kinyarwanda->kinyarwanda:URGENT:haemorrhage_trauma,naraguye none ndababara cyane,naraguye none ndababara cyane
