text,language,label,domain,family,phrase,phrase_group
"Mfasha, umwana wanjye afite ububabare bukabije mu nda kuva ubu gitondo cya kare biragenda bikagaruka. Urakoze.",kinyarwanda,URGENT,gastrointestinal,kinyarwanda->kinyarwanda:URGENT:gastrointestinal,{REL} afite ububabare bukabije mu nda.,Mfite ububabare bukabije mu nda.
"Simbizi niba bikomeye ariko, mfite ubushye bunini ku mubiri kuva mu masaha abiri ashize kandi birushaho kuba bibi. Naje mvuye kure.",kinyarwanda,CRITICAL,haemorrhage_trauma,kinyarwanda->kinyarwanda:CRITICAL:haemorrhage_trauma,Mfite ubushye bunini ku mubiri.,Mfite ubushye bunini ku mubiri.
"Muganga, mushiki wanjye afite igikomere ku mutwe nyuma yo kugwa kuva hashize iminsi ibiri kandi ndahangayitse. Nkora iki?",kinyarwanda,CRITICAL,haemorrhage_trauma,kinyarwanda->kinyarwanda:CRITICAL:haemorrhage_trauma,{REL} afite igikomere ku mutwe nyuma yo kugwa.,mfite igikomere ku mutwe nyuma yo kugwa
Mu rugo hari umuntu urwaye igituntu kandi ndashaka kwisuzumisha kuva ejo. Abandi bana na bo bafite iki kibazo. Mfasha muganga.,kinyarwanda,URGENT,preventive,kinyarwanda->kinyarwanda:URGENT:preventive,Mu rugo hari umuntu urwaye igituntu kandi ndashaka kwisuzumisha.,Mu rugo hari umuntu urwaye igituntu kandi ndashaka kwisuzumisha.
"Muraho, ndabyara ariko habanje gusohoka umugozi w'umwana kuva ubu gitondo cya kare. Ndakeneye ubufasha vuba.",kinyarwanda,CRITICAL,obstetric,kinyarwanda->kinyarwanda:CRITICAL:obstetric,Ndabyara ariko habanje gusohoka umugozi w'umwana.,Ndabyara ariko habanje gusohoka umugozi w'umwana.
"Mfasha, umukecuru ahumeka bimugora cyane kandi iminwa ye yahindutse ibara kuva hashize iminsi itatu bikarushaho nijoro. Naje mvuye kure.",kinyarwanda,CRITICAL,cardiac_respiratory,kinyarwanda->kinyarwanda:CRITICAL:cardiac_respiratory,{REL} ahumeka bimugora cyane kandi iminwa ye yahindutse ibara.,guhumeka birangora cyane kandi iminwa yanjye yahindutse ibara
"Muraho, umuturanyi wanjye arava amaraso menshi nyuma yo kubyara kuva ejo bikarushaho nijoro. Ntegereze cyangwa nsuzumwe ubu?",kinyarwanda,CRITICAL,obstetric,kinyarwanda->kinyarwanda:CRITICAL:obstetric,{REL} arava amaraso menshi nyuma yo kubyara.,ndava amaraso menshi nyuma yo kubyara
Ndashaka kukubwira ikibazo mfite. Ndaruka amaraso kuva ejo. Abandi bana na bo bafite iki kibazo. Ntabasha kubona amafaranga yo kongera kuza kwa muganga.,kinyarwanda,CRITICAL,gastrointestinal,kinyarwanda->kinyarwanda:CRITICAL:gastrointestinal,Ndaruka amaraso.,Ndaruka amaraso.
"Naje hano mbere, mu gituza harandya cyane kandi ububabare bukagera no ku kuboko kuva ijoro ryashize. Byatangiye gitunguranye. Ese ibi birakomeye?",kinyarwanda,CRITICAL,cardiac_respiratory,kinyarwanda->kinyarwanda:CRITICAL:cardiac_respiratory,mu gituza harandya cyane kandi ububabare bukagera no ku kuboko,mu gituza harandya cyane kandi ububabare bukagera no ku kuboko
"Muraho, mu gituza harandya cyane kandi ububabare bukagera no ku kuboko. Ndakeneye ubufasha vuba.",kinyarwanda,CRITICAL,cardiac_respiratory,kinyarwanda->kinyarwanda:CRITICAL:cardiac_respiratory,mu gituza harandya cyane kandi ububabare bukagera no ku kuboko,mu gituza harandya cyane kandi ububabare bukagera no ku kuboko
"Mumbabarire, ndashaka kubabwira ikibazo mfite. Umwana wanjye afite ubushye bunini ku mubiri kuva mu masaha abiri ashize nta miti imfasha. Ni imiti ki nafata?",kinyarwanda,CRITICAL,haemorrhage_trauma,kinyarwanda->kinyarwanda:CRITICAL:haemorrhage_trauma,{REL} afite ubushye bunini ku mubiri.,Mfite ubushye bunini ku mubiri.
"Muraho, umugabo wanjye afite igikomere cyanduye, kiratukura kandi kirimo amashyira kuva mu cyumweru gishize nta miti imfasha. Ntegereze cyangwa nsuzumwe ubu?",kinyarwanda,URGENT,haemorrhage_trauma,kinyarwanda->kinyarwanda:URGENT:haemorrhage_trauma,"{REL} afite igikomere cyanduye, kiratukura kandi kirimo amashyira.","mfite igikomere cyanduye, kiratukura kandi kirimo amashyira"
"Muganga, nyuma yo kubyara mfite umuriro kandi hari ibintu bisohoka bifite impumuro mbi kuva mu cyumweru gishize kandi nta miti mfite. Ntegereze cyangwa nsuzumwe ubu?",kinyarwanda,CRITICAL,obstetric,kinyarwanda->kinyarwanda:CRITICAL:obstetric,Nyuma yo kubyara mfite umuriro kandi hari ibintu bisohoka bifite impumuro mbi.,Nyuma yo kubyara mfite umuriro kandi hari ibintu bisohoka bifite impumuro mbi.
Amazuru arantemba gake kuva mu masaha abiri ashize kandi sinshobora gusinzira. Ntegereze cyangwa nsuzumwe ubu?,kinyarwanda,ROUTINE,infectious_fever,kinyarwanda->kinyarwanda:ROUTINE:infectious_fever,amazuru arantemba gake,amazuru arantemba gake
"Naje hano mbere, mu gituza harandya cyane kandi ububabare bukagera no ku kuboko kuva mu masaha abiri ashize. Naje mvuye kure.",kinyarwanda,CRITICAL,cardiac_respiratory,kinyarwanda->kinyarwanda:CRITICAL:cardiac_respiratory,mu gituza harandya cyane kandi ububabare bukagera no ku kuboko,mu gituza harandya cyane kandi ububabare bukagera no ku kuboko
"Nzanye umwana wanjye, ndashaka kujya kwa muganga kwisuzumisha diyabete. Byatangiye gitunguranye.",kinyarwanda,ROUTINE,chronic_care,kinyarwanda->kinyarwanda:ROUTINE:chronic_care,Ndashaka kujya kwa muganga kwisuzumisha diyabete.,Ndashaka kujya kwa muganga kwisuzumisha SIDA.
"Naje hano mbere, umuturanyi wanjye yataye ubwenge kandi ntasubiza kuva ijoro ryashize nta miti imfasha. Ni imiti ki nafata?",kinyarwanda,CRITICAL,neurological,kinyarwanda->kinyarwanda:CRITICAL:neurological,{REL} yataye ubwenge kandi ntasubiza.,{REL} yataye ubwenge kandi ntasubiza.
"Mfasha, nta miti y'igituntu mfite kuva hashize iminsi itatu kandi birushaho kuba bibi. Ese ibi birakomeye?",kinyarwanda,URGENT,chronic_care,kinyarwanda->kinyarwanda:URGENT:chronic_care,Nta miti y'igituntu mfite.,Nta miti y'igituntu mfite.
