text,language,label,domain,family,phrase,phrase_group
Ndashaka kugirwa inama ku mazi yo kunywa biragenda bikagaruka. Ntegereze cyangwa nsuzumwe ubu?,kinyarwanda,ROUTINE,preventive,kinyarwanda->kinyarwanda:ROUTINE:preventive,Ndashaka kugirwa inama ku mazi yo kunywa.,Ndashaka kugirwa inama ku mazi yo kunywa.
Ndashaka kukubwira ikibazo mfite. Umukecuru afite ubushye bunini ku mubiri kuva ubu gitondo cya kare kandi nta miti mfite. Ntabasha kubona amafaranga yo kongera kuza kwa muganga.,kinyarwanda,CRITICAL,haemorrhage_trauma,kinyarwanda->kinyarwanda:CRITICAL:haemorrhage_trauma,{REL} afite ubushye bunini ku mubiri.,Mfite ubushye bunini ku mubiri.
"Muraho, papa afite ibimenyetso bya malariya, umuriro n'imbeho kuva mu masaha abiri ashize kandi birushaho kuba bibi. Ese ibi birakomeye?",kinyarwanda,URGENT,infectious_fever,kinyarwanda->kinyarwanda:URGENT:infectious_fever,"{REL} afite ibimenyetso bya malariya, umuriro n'imbeho.","Mfite ibimenyetso bya malariya, umuriro n'imbeho."
"Muganga, umwana wanjye amaze ibyumweru birenga bibiri arwaye impiswi kuva hashize icyumweru kandi nta miti mfite. Ni imiti ki nafata?",kinyarwanda,URGENT,gastrointestinal,kinyarwanda->kinyarwanda:URGENT:gastrointestinal,{REL} amaze ibyumweru birenga bibiri arwaye impiswi.,Maze ibyumweru birenga bibiri ndwaye impiswi.
Papa afite gahunda yo gukingiza umwana kuva ijoro ryashize kandi ndahangayitse. Urakoze.,kinyarwanda,ROUTINE,preventive,kinyarwanda->kinyarwanda:ROUTINE:preventive,{REL} afite gahunda yo gukingiza umwana.,Mfite gahunda yo gukingiza umwana.
"Ndakeneye ubufasha, umuturanyi wanjye afite ubushye bunini ku mubiri kuva mu gitondo kandi nta miti mfite. Nkora iki?",kinyarwanda,CRITICAL,haemorrhage_trauma,kinyarwanda->kinyarwanda:CRITICAL:haemorrhage_trauma,{REL} afite ubushye bunini ku mubiri.,Mfite ubushye bunini ku mubiri.
"Mumbabarire, ndashaka kubabwira ikibazo mfite. Papa yarumwe n'inzoka kuva ubu gitondo cya kare kandi nta miti mfite. Nkora iki?",kinyarwanda,URGENT,haemorrhage_trauma,kinyarwanda->kinyarwanda:URGENT:haemorrhage_trauma,{REL} yarumwe n'inzoka.,Narumwe n'inzoka.
"Nzanye umwana wanjye, mushiki wanjye afite ibimenyetso bya malariya, umuriro n'imbeho kuva mu gitondo bikarushaho nijoro",kinyarwanda,URGENT,infectious_fever,kinyarwanda->kinyarwanda:URGENT:infectious_fever,"{REL} afite ibimenyetso bya malariya, umuriro n'imbeho.","Mfite ibimenyetso bya malariya, umuriro n'imbeho."
"Mumbabarire, ndashaka kubabwira ikibazo mfite. Amazi yamenetse ariko igihe cyo kubyara ntikiragera kuva mu gitondo kandi birushaho kuba bibi. Ni imiti ki nafata?",kinyarwanda,URGENT,obstetric,kinyarwanda->kinyarwanda:URGENT:obstetric,Amazi yamenetse ariko igihe cyo kubyara ntikiragera.,Amazi yamenetse ariko igihe cyo kubyara ntikiragera.
"Mumbabarire, ndashaka kubabwira ikibazo mfite. Umwana wanjye akorora gake ariko nta muriro afite kuva mu cyumweru gishize bikarushaho nijoro. Naje mvuye kure.",kinyarwanda,ROUTINE,cardiac_respiratory,kinyarwanda->kinyarwanda:ROUTINE:cardiac_respiratory,{REL} akorora gake ariko nta muriro afite.,Nkorora gake ariko nta muriro mfite.
Ndashaka kukubwira ikibazo mfite. Mushiki wanjye afite umuriro mwinshi kandi arakorora cyane kuva mu gitondo kandi ndahangayitse. Naje mvuye kure.,kinyarwanda,URGENT,infectious_fever,kinyarwanda->kinyarwanda:URGENT:infectious_fever,{REL} afite umuriro mwinshi kandi arakorora cyane.,mfite umuriro mwinshi kandi ndakorora cyane
"Nzanye umwana wanjye, mama aratwite kandi yaragagaye kuva mu cyumweru gishize kandi nta miti mfite. Naje mvuye kure.",kinyarwanda,CRITICAL,obstetric,kinyarwanda->kinyarwanda:CRITICAL:obstetric,{REL} aratwite kandi yaragagaye.,Ndatwite kandi nagagaye.
"Mumbabarire, ndashaka kubabwira ikibazo mfite. Umukecuru afite umuriro mwinshi kandi arakorora cyane kuva mu cyumweru gishize kandi sinshobora gusinzira. Naje mvuye kure.",kinyarwanda,URGENT,infectious_fever,kinyarwanda->kinyarwanda:URGENT:infectious_fever,{REL} afite umuriro mwinshi kandi arakorora cyane.,mfite umuriro mwinshi kandi ndakorora cyane
