text,language,label,domain,family,phrase,phrase_group
"Mfasha vuba, umugore wanjye ntashobora kuvuga neza kandi umunwa we waragoramye kuva mu cyumweru gishize. Abandi bana na bo bafite iki kibazo. Ni imiti ki nafata?",kinyarwanda,CRITICAL,neurological,kinyarwanda->kinyarwanda:CRITICAL:neurological,{REL} ntashobora kuvuga neza kandi umunwa we waragoramye.,{REL} ntashobora kuvuga neza kandi umunwa we waragoramye.
"Simbizi niba bikomeye ariko, umugabo wanjye ashaka imiti y'inzoka y'umwana we kuva mu gitondo. Ndakeneye ubufasha vuba.",kinyarwanda,ROUTINE,preventive,kinyarwanda->kinyarwanda:ROUTINE:preventive,{REL} ashaka imiti y'inzoka y'umwana we.,Ndashaka imiti y'inzoka y'umwana wanjye.
Ndashaka kukubwira ikibazo mfite. Iyo mpumetse cyane mu gituza harandya kuva mu gitondo kandi birushaho kuba bibi. Ni imiti ki nafata?,kinyarwanda,URGENT,cardiac_respiratory,kinyarwanda->kinyarwanda:URGENT:cardiac_respiratory,iyo mpumetse cyane mu gituza harandya,"Iyo {REL} ahumetse cyane, arumva mu gituza hamubabaza."
"Mfasha vuba, iyo umuturanyi wanjye ahumetse cyane, arumva mu gituza hamubabaza kuva ubu gitondo cya kare kandi ndahangayitse. Naje mvuye kure.",kinyarwanda,URGENT,cardiac_respiratory,kinyarwanda->kinyarwanda:URGENT:cardiac_respiratory,"Iyo {REL} ahumetse cyane, arumva mu gituza hamubabaza.","Iyo {REL} ahumetse cyane, arumva mu gituza hamubabaza."
"Nzanye umwana wanjye, maze iminsi itatu ndwaye impiswi zikomeye kuva ubu gitondo cya kare kandi birushaho kuba bibi. Ntegereze cyangwa nsuzumwe ubu?",kinyarwanda,URGENT,gastrointestinal,kinyarwanda->kinyarwanda:URGENT:gastrointestinal,maze iminsi itatu ndwaye impiswi zikomeye,maze iminsi itatu ndwaye impiswi zikomeye
"Muraho, mfite umuhaha kuva hashize iminsi itatu. Ntabasha kubona amafaranga yo kongera kuza kwa muganga.",kinyarwanda,URGENT,paediatric,kinyarwanda->kinyarwanda:URGENT:paediatric,Mfite umuhaha.,Mfite umuhaha.
Mfite umuhaha kuva ubu gitondo cya kare kandi birushaho kuba bibi. Nkora iki?,kinyarwanda,URGENT,paediatric,kinyarwanda->kinyarwanda:URGENT:paediatric,Mfite umuhaha.,Mfite umuhaha.
"Mfasha, mfite igikomere cyanduye, kiratukura kandi kirimo amashyira. Naje mvuye kure.",kinyarwanda,URGENT,haemorrhage_trauma,kinyarwanda->kinyarwanda:URGENT:haemorrhage_trauma,"mfite igikomere cyanduye, kiratukura kandi kirimo amashyira","mfite igikomere cyanduye, kiratukura kandi kirimo amashyira"
"Nzanye umwana wanjye, ndashaka kongererwa imiti y'umuvuduko w'amaraso kuva ijoro ryashize. Ndakeneye ubufasha vuba.",kinyarwanda,ROUTINE,chronic_care,kinyarwanda->kinyarwanda:ROUTINE:chronic_care,Ndashaka kongererwa imiti y'umuvuduko w'amaraso.,Ndashaka kongererwa imiti y'umuvuduko w'amaraso.
"Simbizi niba bikomeye ariko, umugore wanjye aratwite kandi ashaka kwisuzumisha kwa muganga bwa mbere kuva ubu gitondo cya kare kandi nta miti mfite. Nkora iki?",kinyarwanda,ROUTINE,preventive,kinyarwanda->kinyarwanda:ROUTINE:preventive,{REL} aratwite kandi ashaka kwisuzumisha kwa muganga bwa mbere.,Ndatwite kandi ndashaka kwisuzumisha kwa muganga bwa mbere.
"Muganga, papa araruka ibyo arya byose kandi ntashobora no kunywa kuva hashize iminsi ibiri kandi nta miti mfite. Ntegereze cyangwa nsuzumwe ubu?",kinyarwanda,CRITICAL,gastrointestinal,kinyarwanda->kinyarwanda:CRITICAL:gastrointestinal,{REL} araruka ibyo arya byose kandi ntashobora no kunywa.,Ndaruka ibyo ndya byose kandi sinshobora no kunywa.
"Muraho, umwana wanjye afite umuriro kandi umutwe uramubabaza cyane kuva ubu gitondo cya kare. Nkora iki?",kinyarwanda,URGENT,infectious_fever,kinyarwanda->kinyarwanda:URGENT:infectious_fever,{REL} afite umuriro kandi umutwe uramubabaza cyane.,mfite umuriro kandi umutwe urandya cyane
